UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,energy_consumption_kwh,power_state,power_state_numeric,power_quality_factor,on_diesel,actual_energy_kwh,grid_emissions_kg_co2,diesel_emissions_kg_co2,total_emissions_kg_co2,energy_cost_usd,energy_cost_ngn,maintenance_urgency,tropical_degradation_rate,Type_encoded
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,45.10988811967654,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.03119992886149,0.12922856493716642,0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,50.43867701572561,stable_grid,0,1.0,0,50.43867701572561,23.706178197391036,0.0,23.706178197391036,4.035094161258049,6052.641241887073,30.136359159698333,0.12922856493716642,1
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,43.32668912316102,stable_grid,0,1.0,0,43.32668912316102,20.363543887885676,0.0,20.363543887885676,3.4661351298528813,5199.202694779322,28.278550886269393,0.19384284740574964,0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,52.259070821594165,stable_grid,0,1.0,0,52.259070821594165,24.561763286149255,0.0,24.561763286149255,4.180725665727533,6271.0884985913,31.523804629357493,0.12922856493716642,0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,46.71495292873459,diesel_gen,3,0.95,1,47.18210245802194,0.0,37.93441037624964,37.93441037624964,21.231946106109874,31847.91915916481,40.17520388876953,0.12922856493716642,0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,46.79733902402904,stable_grid,0,1.0,0,46.79733902402904,21.994749341293648,0.0,21.994749341293648,3.7437871219223235,5615.680682883485,30.36524031255187,0.12922856493716642,1
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,53.45558128798538,stable_grid,0,1.0,0,53.45558128798538,25.12412320535313,0.0,25.12412320535313,4.276446503038831,6414.6697545582465,33.022875886682115,0.19384284740574964,1
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,48.63052851871488,stable_grid,0,1.0,0,48.63052851871488,22.856348403795995,0.0,22.856348403795995,3.8904422814971906,5835.663422245786,31.914984427632287,0.19384284740574964,1
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,48.128857681999065,stable_grid,0,1.0,0,48.128857681999065,22.62056311053956,0.0,22.62056311053956,3.8503086145599252,5775.462921839888,32.224788107015414,0.19384284740574964,0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,53.665119095698785,stable_grid,0,1.0,0,53.665119095698785,25.22260597497843,0.0,25.22260597497843,4.293209527655903,6439.8142914838545,34.35640828908358,0.12922856493716642,2
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,54.35378377273185,stable_grid,0,1.0,0,54.35378377273185,25.54627837318397,0.0,25.54627837318397,4.3483027018185485,6522.454052727823,35.37274454169863,0.32307141234291603,0
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,50.77996706815359,brownout,1,0.75,0,53.31896542156127,25.0599137481338,0.0,25.0599137481338,4.265517233724902,6398.275850587353,35.34961920689152,0.12922856493716642,0
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,54.03187767799879,stable_grid,0,1.0,0,54.03187767799879,25.39498250865943,0.0,25.39498250865943,4.322550214239904,6483.8253213598555,35.89959826682668,0.12922856493716642,0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,53.194167603488495,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39.429724124282245,0.12922856493716642,1
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,53.11108644779347,brownout,1,0.75,0,55.766640770183145,26.210321161986077,0.0,26.210321161986077,4.461331261614652,6691.996892421978,37.258964272680785,0.19384284740574964,2
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,54.82345934516523,diesel_gen,3,0.95,1,55.371693938616886,0.0,44.51884192664798,44.51884192664798,24.9172622723776,37375.8934085664,47.919969723701925,0.32307141234291603,1
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,56.358579562249176,stable_grid,0,1.0,0,56.358579562249176,26.48853239425711,0.0,26.48853239425711,4.508686364979934,6763.029547469901,38.71789110585564,0.19384284740574964,0
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,45.65605979285982,diesel_gen,3,0.95,1,46.11262039078842,0.0,37.07454679419389,37.07454679419389,20.750679175854792,31126.018763782187,45.67430869275603,0.12922856493716642,1
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,53.51025150427852,stable_grid,0,1.0,0,53.51025150427852,25.149818207010902,0.0,25.149818207010902,4.280820120342282,6421.230180513423,38.57439982453721,0.19384284740574964,0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,58.41046481189029,stable_grid,0,1.0,0,58.41046481189029,27.452918461588435,0.0,27.452918461588435,4.672837184951224,7009.255777426835,40.49745126993641,0.12922856493716642,2
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,52.470792521124764,stable_grid,0,1.0,0,52.470792521124764,24.661272484928638,0.0,24.661272484928638,4.197663401689981,6296.495102534972,39.340266598021245,0.32307141234291603,1
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,31.2374642722365,stable_grid,0,1.0,0,31.2374642722365,14.681608207951154,0.0,14.681608207951154,2.4989971417789203,3748.4957126683803,62.85188071576016,0.19384284740574964,0
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,58.74499499861747,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,46.04083083048663,0.12922856493716642,0
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,54.33487278042419,stable_grid,0,1.0,0,54.33487278042419,25.53739020679937,0.0,25.53739020679937,4.346789822433935,6520.184733650903,41.05824297747821,0.12922856493716642,2
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,49.92232309245396,voltage_spike,4,1.15,0,48.42465339968034,22.759587097849757,0.0,22.759587097849757,3.873972271974427,5810.958407961641,39.91071631126363,0.32307141234291603,0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,48.228950423854315,diesel_gen,3,0.95,1,48.71123992809286,0.0,39.16383690218666,39.16383690218666,21.920057967641785,32880.086951462676,50.3208974256463,0.12922856493716642,0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,53.100922234789344,voltage_spike,4,1.15,0,51.507894567745666,24.208710446840463,0.0,24.208710446840463,4.120631565419654,6180.947348129481,41.554163665043184,0.12922856493716642,0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,53.71206996479758,stable_grid,0,1.0,0,53.71206996479758,25.24467288345486,0.0,25.24467288345486,4.2969655971838066,6445.44839577571,42.59314798464645,0.12922856493716642,0
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,53.0897361251471,diesel_gen,3,0.95,1,53.62063348639857,0.0,43.11098932306445,43.11098932306445,24.129285068879355,36193.92760331903,52.879370266029184,0.12922856493716642,0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,47.769647357634305,stable_grid,0,1.0,0,47.769647357634305,22.451734258088123,0.0,22.451734258088123,3.8215717886107443,5732.357682916117,41.276958680160405,0.12922856493716642,1
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,59.796972830255626,diesel_gen,3,0.95,1,60.394942558558185,0.0,48.55753381708078,48.55753381708078,27.177724151351185,40766.586227026775,55.891271242694565,0.19384284740574964,0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,59.17231065147441,stable_grid,0,1.0,0,59.17231065147441,27.810986006192973,0.0,27.810986006192973,4.733784852117953,7100.67727817693,45.80655931449744,0.12922856493716642,0
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,53.57204945820145,stable_grid,0,1.0,0,53.57204945820145,25.17886324535468,0.0,25.17886324535468,4.285763956656116,6428.645934984174,44.28636381031542,0.12922856493716642,1
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,44.96357868151429,stable_grid,0,1.0,0,44.96357868151429,21.132881980311716,0.0,21.132881980311716,3.5970862945211435,5395.629441781715,41.93783865305219,0.19384284740574964,0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,47.40653255307411,brownout,1,0.75,0,49.77685918072782,23.395123814942075,0.0,23.395123814942075,3.9821487344582254,5973.223101687338,43.832383660260376,0.12922856493716642,1
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,53.12640321180132,diesel_gen,3,0.95,1,53.657667243919335,0.0,43.14076446411115,43.14076446411115,24.1459502597637,36218.92538964555,55.579261169253634,0.19384284740574964,0
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,55.17759610069166,stable_grid,0,1.0,0,55.17759610069166,25.93347016732508,0.0,25.93347016732508,4.414207688055333,6621.311532082999,46.39387183675379,0.12922856493716642,0
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,48.349517446935735,stable_grid,0,1.0,0,48.349517446935735,22.724273200059795,0.0,22.724273200059795,3.867961395754859,5801.942093632289,44.47105845800863,0.12922856493716642,1
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,56.36450219695049,stable_grid,0,1.0,0,56.36450219695049,26.49131603256673,0.0,26.49131603256673,4.50916017575604,6763.740263634059,47.573588158218065,0.19384284740574964,2
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,49.38886343925776,stable_grid,0,1.0,0,49.38886343925776,23.212765816451146,0.0,23.212765816451146,3.951109075140621,5926.663612710931,46.07669613528605,0.32307141234291603,0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,70.43387824480745,stable_grid,0,1.0,0,70.43387824480745,33.103922775059495,0.0,33.103922775059495,5.634710259584596,8452.065389376894,83.29384533833279,0.12922856493716642,0
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,46.687735191366144,stable_grid,0,1.0,0,46.687735191366144,21.943235539942087,0.0,21.943235539942087,3.735018815309292,5602.528222963938,45.82337088654497,0.12922856493716642,1
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,57.91382266155148,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,53.77700881860834,0.19384284740574964,0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,55.45926481774414,brownout,1,0.75,0,58.23222805863135,27.369147187556734,0.0,27.369147187556734,4.658578244690508,6987.867367035762,50.399479347363105,0.12922856493716642,0
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,53.090066829081394,stable_grid,0,1.0,0,53.090066829081394,24.952331409668254,0.0,24.952331409668254,4.247205346326512,6370.8080194897675,49.029500988373854,0.12922856493716642,0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,51.22386287255743,voltage_spike,4,1.15,0,49.68714698638071,23.352959083598932,0.0,23.352959083598932,3.9749717589104567,5962.457638365685,48.229843294355476,0.12922856493716642,0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,57.68315745491087,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,54.95106508114033,0.12922856493716642,0
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,60.63529513964837,diesel_gen,3,0.95,1,61.24164809104485,0.0,49.23828506520006,49.23828506520006,27.558741640970183,41338.112461455275,62.65113082415239,0.12922856493716642,0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,55.809994449513184,diesel_gen,3,0.95,1,56.36809439400832,0.0,45.319947892782686,45.319947892782686,25.365642477303744,38048.463715955615,91.36923249115469,0.12922856493716642,0
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,48.91703093772717,stable_grid,0,1.0,0,48.91703093772717,22.99100454073177,0.0,22.99100454073177,3.9133624750181735,5870.04371252726,16.04055298117316,0.0,0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,42.8498928979178,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.1774736218006,0.12922856493716642,0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,49.13586937872299,stable_grid,0,1.0,0,49.13586937872299,23.093858607999803,0.0,23.093858607999803,3.9308695502978392,5896.304325446758,16.744724119242345,0.12922856493716642,2
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,48.29868937507881,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.428273451348783,0.32307141234291603,0
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,45.2004211621725,diesel_gen,3,0.95,1,45.65242537379423,0.0,36.70455000053056,36.70455000053056,20.543591418207406,30815.387127311107,26.70917530237949,0.12922856493716642,0
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,45.15260197228536,stable_grid,0,1.0,0,45.15260197228536,21.221722926974117,0.0,21.221722926974117,3.612208157782829,5418.312236674244,16.861482013839314,0.12922856493716642,0
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,48.17073384478033,diesel_gen,3,0.95,1,48.652441183228134,0.0,39.116562711315424,39.116562711315424,21.89359853245266,32840.39779867899,28.32533194065744,0.12922856493716642,0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,41.75693989624412,diesel_gen,3,0.95,1,42.17450929520656,0.0,33.908305473346076,33.908305473346076,18.978529182842955,28467.79377426443,26.51733640018416,0.12922856493716642,1
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,46.823196321107936,diesel_gen,3,0.95,1,47.29142828431902,0.0,38.022308340592495,38.022308340592495,21.281142727943557,31921.714091915335,28.669551322706944,0.19384284740574964,2
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,42.27240030104387,stable_grid,0,1.0,0,42.27240030104387,19.868028141490615,0.0,19.868028141490615,3.3817920240835093,5072.688036125264,17.814258313225547,0.32307141234291603,0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,47.496851310354614,stable_grid,0,1.0,0,47.496851310354614,22.323520115866668,0.0,22.323520115866668,3.799748104828369,5699.622157242554,19.843631666003326,0.12922856493716642,1
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,45.764212780927004,stable_grid,0,1.0,0,45.764212780927004,21.50918000703569,0.0,21.50918000703569,3.6611370224741604,5491.705533711241,19.74978446726606,0.19384284740574964,1
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,41.19679544684557,stable_grid,0,1.0,0,41.19679544684557,19.362493860017416,0.0,19.362493860017416,3.2957436357476455,4943.615453621468,18.726375135785233,0.19384284740574964,0
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,41.37770887482735,stable_grid,0,1.0,0,41.37770887482735,19.447523171168854,0.0,19.447523171168854,3.310216709986188,4965.325064979283,19.101904617931638,0.12922856493716642,0
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,41.873042043155664,stable_grid,0,1.0,0,41.873042043155664,19.68032976028316,0.0,19.68032976028316,3.3498433634524534,5024.76504517868,19.58053656575663,0.12922856493716642,1
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,47.443440781355505,stable_grid,0,1.0,0,47.443440781355505,22.298417167237087,0.0,22.298417167237087,3.7954752625084405,5693.21289376266,21.881453602894368,0.19384284740574964,0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,43.7829163305161,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.86872542678744,0.12922856493716642,0
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,50.5189471155702,diesel_gen,3,0.95,1,51.0241365867259,0.0,41.02340581572763,41.02340581572763,22.960861464026657,34441.29219603998,33.688023029139444,0.12922856493716642,1
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,45.34316526156346,diesel_gen,3,0.95,1,45.7965969141791,0.0,36.820463919,36.820463919,20.608468611380594,30912.702917070892,32.44815069609809,0.19384284740574964,1
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,44.28807723321116,brownout,1,0.75,0,46.50248109487172,21.85616611458971,0.0,21.85616611458971,3.7201984875897374,5580.297731384606,23.153927922180724,0.19384284740574964,1
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,43.56139577327458,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.520688374090074,0.19384284740574964,0
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,50.026247555413946,stable_grid,0,1.0,0,50.026247555413946,23.512336351044553,0.0,23.512336351044553,4.002099804433116,6003.149706649674,25.099932216654043,0.12922856493716642,0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,42.361045546201495,stable_grid,0,1.0,0,42.361045546201495,19.909691406714703,0.0,19.909691406714703,3.38888364369612,5083.32546554418,22.90261482003274,0.12922856493716642,0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,40.56960071656746,brownout,1,0.75,0,42.59808075239583,20.02109795362604,0.0,20.02109795362604,3.4078464601916667,5111.7696902875,23.296547388784347,0.12922856493716642,0
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,48.67802087428104,brownout,1,0.75,0,51.11192191799509,24.022603301457693,0.0,24.022603301457693,4.088953753439608,6133.4306301594115,26.4045560566299,0.12922856493716642,0
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,47.013015467440454,stable_grid,0,1.0,0,47.013015467440454,22.09611726969701,0.0,22.09611726969701,3.7610412373952364,5641.561856092854,25.376674984302227,0.12922856493716642,1
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,48.839301006712404,stable_grid,0,1.0,0,48.839301006712404,22.95447147315483,0.0,22.95447147315483,3.9071440805369924,5860.716120805489,26.449846899063918,0.19384284740574964,0
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,43.925937025466524,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.035675457063746,0.12922856493716642,0
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,51.70475788055942,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.412817085887212,0.12922856493716642,0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,51.8034699013314,brownout,1,0.75,0,54.39364339639797,25.565012396307043,0.0,25.565012396307043,4.351491471711838,6527.237207567757,29.219807143763393,0.12922856493716642,1
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,45.52361796914854,voltage_spike,4,1.15,0,44.157909430074085,20.75421743213482,0.0,20.75421743213482,3.532632754405927,5298.949131608891,26.337680479881552,0.19384284740574964,2
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,45.95859225988163,voltage_spike,4,1.15,0,44.579834492085176,20.95252221128003,0.0,20.95252221128003,3.5663867593668144,5349.580139050222,27.266549221797014,0.32307141234291603,0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,41.64152206053339,stable_grid,0,1.0,0,41.64152206053339,19.571515368450694,0.0,19.571515368450694,3.3313217648426714,4996.982647264007,26.6192425525877,0.12922856493716642,0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,50.59214051460739,stable_grid,0,1.0,0,50.59214051460739,23.77830604186547,0.0,23.77830604186547,4.047371241168591,6071.056861752886,29.87047637335946,0.12922856493716642,2
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,48.506231241527644,stable_grid,0,1.0,0,48.506231241527644,22.79792868351799,0.0,22.79792868351799,3.880498499322212,5820.747748983317,29.976992475531922,0.32307141234291603,1
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,49.85964129085852,blackout,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.16503167227839,0.19384284740574964,1
